caseid,age,if_discrim,if_cyber_bullying,if_drugs,if_drink,if_school_attandence,if_mental_healthy,working_hour_weekly,number_relative_friends
564,6,0,NA,0,5,0,2,NA,3
565,5,0,NA,0,5,0,2,40,20
566,6,0,NA,0,2,0,3,NA,2
567,1,0,NA,0,7,1,2,NA,2
568,3,0,1,0,5,0,2,40,10
569,5,0,NA,0,3,0,1,NA,20
570,4,1,NA,0,5,0,3,20,35
571,1,0,NA,0,3,1,1,22,0
572,1,1,NA,0,4,1,2,12,15
573,5,0,NA,0,3,0,3,70,8
574,6,1,NA,0,7,0,3,NA,1
575,5,0,NA,0,3,0,1,35,6
576,3,0,NA,0,3,0,3,30,12
577,4,0,NA,0,3,0,3,25,8
578,6,0,NA,0,3,0,3,NA,20
579,3,0,0,0,6,0,3,37.5,5
580,5,0,NA,0,5,0,3,NA,10
581,2,1,NA,0,7,1,3,25,30
582,1,1,NA,0,5,0,2,25,5
583,5,0,NA,0,5,0,1,20,30
584,6,0,NA,0,7,0,4,NA,3
585,2,0,NA,0,5,0,1,38,10
586,2,0,NA,0,7,0,2,NA,3
587,6,0,NA,0,7,0,3,20,5
588,1,0,NA,0,7,1,2,NA,4
589,1,1,NA,0,7,1,2,20,4
590,4,0,NA,0,6,0,3,40,10
591,4,0,NA,0,5,0,2,39,20
592,3,0,NA,0,5,0,3,40,10
593,5,0,NA,0,7,0,2,NA,20
594,2,0,NA,0,7,0,3,36,20
595,6,0,NA,0,5,0,2,18,10
596,7,0,NA,0,7,0,2,NA,10
597,5,0,NA,0,7,0,2,30,20
598,6,0,NA,0,1,0,2,NA,2
599,7,NA,NA,NA,NA,NA,NA,NA,NA
600,3,0,0,0,5,1,3,25,15
601,5,1,NA,0,2,0,2,37.5,11
602,3,1,NA,0,2,0,4,20,5
603,5,0,NA,NA,NA,0,1,40,0
604,5,0,NA,0,7,0,1,NA,NA
605,4,0,NA,0,2,0,3,40,12
606,5,0,NA,0,1,0,1,40,30
607,4,NA,NA,NA,NA,NA,NA,NA,0
608,4,1,NA,0,7,0,2,35,12
609,5,0,NA,0,3,0,1,40,12
610,6,0,NA,0,3,0,1,NA,10
611,6,0,NA,0,5,0,2,32,50
612,5,0,NA,0,6,0,2,14,20
613,2,0,NA,0,7,0,3,37.5,10
614,3,0,NA,0,3,0,3,40,25
615,2,1,NA,0,3,0,1,37.5,12
616,5,0,NA,0,7,0,2,40,50
617,1,0,NA,0,7,1,1,3,15
618,5,0,NA,0,2,0,1,NA,12
619,3,0,0,0,5,0,2,100,15
620,2,0,NA,0,4,0,1,37.5,7
621,5,0,NA,0,4,0,2,NA,5
622,3,0,NA,0,5,0,2,35,30
623,7,0,NA,0,7,0,1,NA,3
624,5,0,NA,0,5,0,2,40,2
625,5,1,NA,0,4,1,NA,NA,NA
626,3,1,NA,0,7,0,3,30,10
627,4,0,NA,0,2,0,3,45,4
628,4,1,NA,0,6,0,3,NA,2
629,6,0,NA,0,7,0,3,NA,6
630,4,0,NA,0,2,0,1,40,10
631,2,0,NA,0,3,0,2,40,12
632,6,0,NA,0,7,0,2,NA,6
